study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB32839	SAMEA7225793	ERX10611175	ERR11178289	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/089/ERR11178289/ERR11178289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/089/ERR11178289/ERR11178289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178289/35101_2#26.cram	
PRJEB32839	SAMEA7225699	ERX10611176	ERR11178290	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/090/ERR11178290/ERR11178290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/090/ERR11178290/ERR11178290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178290/35101_2#27.cram	
PRJEB32839	SAMEA7225809	ERX10611177	ERR11178291	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/091/ERR11178291/ERR11178291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/091/ERR11178291/ERR11178291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178291/35101_2#28.cram	
PRJEB32839	SAMEA7225715	ERX10611178	ERR11178292	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/092/ERR11178292/ERR11178292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/092/ERR11178292/ERR11178292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178292/35101_2#29.cram	
PRJEB32839	SAMEA7225749	ERX10611179	ERR11178293	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/093/ERR11178293/ERR11178293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/093/ERR11178293/ERR11178293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178293/35101_2#30.cram	
PRJEB32839	SAMEA7225763	ERX10611180	ERR11178294	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/094/ERR11178294/ERR11178294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/094/ERR11178294/ERR11178294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178294/35101_2#31.cram	
PRJEB32839	SAMEA7225670	ERX10611181	ERR11178295	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/095/ERR11178295/ERR11178295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/095/ERR11178295/ERR11178295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178295/35101_2#32.cram	
PRJEB32839	SAMEA7225779	ERX10611182	ERR11178296	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/096/ERR11178296/ERR11178296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/096/ERR11178296/ERR11178296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178296/35101_2#33.cram	
PRJEB32839	SAMEA7225684	ERX10611183	ERR11178297	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/097/ERR11178297/ERR11178297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/097/ERR11178297/ERR11178297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178297/35101_2#34.cram	
PRJEB32839	SAMEA7225796	ERX10611184	ERR11178298	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/098/ERR11178298/ERR11178298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/098/ERR11178298/ERR11178298_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178298/35101_2#35.cram	
PRJEB32839	SAMEA7225701	ERX10611185	ERR11178299	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/099/ERR11178299/ERR11178299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/099/ERR11178299/ERR11178299_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178299/35101_2#36.cram	
PRJEB32839	SAMEA7225812	ERX10611186	ERR11178300	6186	Schistosoma curassoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/000/ERR11178300/ERR11178300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/000/ERR11178300/ERR11178300_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178300/35101_2#37.cram	
PRJEB32839	SAMEA7225717	ERX10611187	ERR11178301	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/001/ERR11178301/ERR11178301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/001/ERR11178301/ERR11178301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178301/35101_2#38.cram	
